"Titre","Source","Utilité","Date (French)","Année","Lien"
"Quand la marque de luxe Hermès initie les élèves d'un lycée de Revel aux métiers d'art","actu.fr","Utile","21 janvier 2024","2024","https://news.google.com/rss/articles/CBMi1AFBVV95cUxOaEFwSW1iVmZjOFVSbnBaLUJsNjUzVWZfekFWZ1g2cXdVR3E1dXJrU1RJTkhESEdGZXJUVk9kNzNJVm50QnNDMXBLQkZlSTlSZ0pBM09BbWllWEpjb1ZrVWhhQmdCYndWOUduNlA0bEZPRXpSSkZQXzJHeFZEOXhrTGd4NG0zN0JsN0x3aUpZa0p0czFFQXFXOTJrRk9aUWpSbUdRZF84ZEd0bDkza2pKeE5PUHZCTnEzb1V0bmstYUVyc19mV1ZKbm8tLWZmRHJ2Yy1pMg?oc=5&hl=en-US&gl=US&ceid=US:en"
"10 fondations engagées pour la biodiversité","carenews.com","Inutile","18 mars 2022","2022","https://news.google.com/rss/articles/CBMikAFBVV95cUxOSHBZd254WFRDdUg5UVlkX28xYTJTdVpwVlA4TVEwaEM2cW0xcUNlbGd2RjdWalc5VEVvMGhsUDlSOGJkQVpNemR5dFVPN1lfOXBXZGpjdkRzQWlJbzExX1hFQU13V1JNZzAwdlZod2NpUEwySFNOdzJ3aXE3R0tfMl9OZUhvZ3huTTNDdXk0aFg?oc=5&hl=en-US&gl=US&ceid=US:en"
"La Fondation Hermès lance un appel à candidatures.","journalduluxe.fr","Inutile","20 juillet 2021","2021","https://news.google.com/rss/articles/CBMilAFBVV95cUxNeGZHeGx2YXloNWRmd0RDUmNiQ2hoT3NvYWE2blJYd2lCR2RHS0xaeDRIUTZnYS1rMDNuMUlkWUlubGY5MF9Id2lzbTJ6empfR2NJZ2xTUm5CbGtiZnRna1BZU2lOd2xnWFBNU0JsMWNvLWhsOU1SeXdsX1dfX1hYZzBrRmkzVERhdkpGaUQ3cVQybXIw0gGbAUFVX3lxTFBLbnBLWmpKT193eklIb1ZQVkFWeXhzSFNqX2lXZHRwd1BpUkhteEVHYkJmN3FLQ0hyUHZjYVJlVW9rd09kcEkzZ2NJZ3dINnR3WFcxbU14anc4WGdEXzBmLWRsVkltX1FUektXUnBZTm1MRy1aQ0pHS2FENC1ZaUZ2Q0hVbWl6TlBTOVdZSUp2QnNNNlZXU1pDU0JZ?oc=5&hl=en-US&gl=US&ceid=US:en"
"Poursuite du partenariat entre Hermès, Pantin et Est Ensemble","est-ensemble.fr","Autre","9 mai 2017","2017","https://news.google.com/rss/articles/CBMikgFBVV95cUxNRzViUm5ma0FoRmRUdE05VzVhZUtYeG9GUmhWeWRQaERCRjdMRnBvNTMwOGFxaFlxaUxzUC00dzN5a2p4NnMzd1cxTWdUSmVBYnFjSkxvN19LZXFXRk92LWF0ZlhFTVpXYzVYR2h4MHMyZ1hvU0JfdTlUTjJ4bnJwUDlxZWZpbzdHbGJHX2xFeWEyZw?oc=5&hl=en-US&gl=US&ceid=US:en"
"Vidéo. « Certains vont se révéler » : quand des ados découvrent « les métiers de la main »","sudouest.fr","Utile","14 février 2024","2024","https://news.google.com/rss/articles/CBMiywFBVV95cUxOYnV0NlAzRWVUQ3NfSWpQNGJWb21TMjVuVVRocU5ZeTRfQkZsMTl3YjJiYlBvWXpVaWxCRjhiNWdxMVJQRHhFbFZLd243TzRQM2M1cE9IN2czeGdoTjB3amZvNFFXdmtLelZqanVibjJ4YUk0SG1sNGJLNldEekpsT2NycWZHbkdZUGlEdy1rY2luTGo0VXg5M1VqZy1HQmlkRml0TlltblVDdGEzTThnWDFydWlFTWdub1Rna3ZnRUdyZFlaa3lEM0luQQ?oc=5&hl=en-US&gl=US&ceid=US:en"
"Avec Manufacto, les enfants s’improvisent artisans","ideat.fr","Inutile","20 novembre 2017","2017","https://news.google.com/rss/articles/CBMiaEFVX3lxTE1veHhxTHp2U21CMF9IZ1hwUVRoLXp0cm9OVFdrSmlyamNQRWxmajE2R05FQTFGeWNUblBiQ205UjlicDhmQkF2M0xsN25SZnNvMVdzOUZoN29WOV9uRjEta0I4aWVrYVRj?oc=5&hl=en-US&gl=US&ceid=US:en"
"« A cheval sur mon carré », l’engagement d’Hermès pour le bien-être des chevaux","journalduluxe.fr","Inutile","8 novembre 2014","2014","https://news.google.com/rss/articles/CBMisAFBVV95cUxQSHhScmxHYnhpaURJaWFmb3h2R3ZXSENZVHE2NjdTdmVKX195dC1UMVNNWGhwVldkM1Q5Z3Y4MVRkWl9mcF9RMWhGVEwwdXpHS1BDUzd5Z0VTT2FRU0xTcVZIcERaUEpQZjJ2WS12dmVMR3g0NUNaZFhDalBCcW8xQXp2Vkdwc0o4Y1VjeUp5UFB1MFl6aVl4aVZhS25nSkY4ZjFZcHAtQ09UTlprclJKZNIBtwFBVV95cUxOZllCeF9PMmxOcWFwc1hvMkRhOC1nZ1dudi1jbmlSRGZHZ1pvb2pwVzUzWEItUkpEUGRla2ZKSEhpSER2enh2aFZ4NkJYNXN0c2JETkZhNXFyNTdNalo2UWZKcWptS3lWT3BhZVBOSzVsSF9tVU1rc0tuTF9VaWRfWVBCN3lrWDNmUXQyWFdtSTRZallQRFltWGctcHl0bm1Idk5nbURuNERsQmlsVEIzNzJTVlZxREU?oc=5&hl=en-US&gl=US&ceid=US:en"
"Quand Noé Duchaufour-Lawrance enseigne l’art du verre","admagazine.fr","Autre","18 mai 2020","2020","https://news.google.com/rss/articles/CBMiswFBVV95cUxNaDdyZC1NdGloNkVweG5HbTdWNEZFNndWams2TWZKMV9LNW5taThYUjNWWl9GWkNhVGhkN3lFQURPSFJfQ2NOak1aTXhTbG5TcU10OE1SdzRQUzZ6dHQxRk56R1hzTnc3Vjczd2VIUDJPUVNfem9LRXh1aWVfQWotbmtBWUF3bXZZUnRCMWpVZGQ1X3Z4WEtQTVRPQVY1RFYtcGdnb3cwRWFfZTljNGV4R1hTbw?oc=5&hl=en-US&gl=US&ceid=US:en"
"En Dordogne, des lycéens s'initient aux métiers d'art... avec des matériaux de chez Hermès","francebleu.fr","Utile","27 janvier 2021","2021","https://news.google.com/rss/articles/CBMizwFBVV95cUxNcTdOZ01jak5ZdHZkcU9RNmhPWGd0SjlDN1RsMFdvZTlod2V0MlI1aGZjLVNkTThpMDFTa0tWNkpBdTl4bGw3QWNlSmxPQWVpN1A0MmtyRHNWNEJCeVMxQXA3YUZtNXZOYTBIczdPZXRJY0F4OGhhR3lHM2h0NWxsMXdDV1l5eG9pUGZoT1QxMDA1Y2hVVWlOZlBjSk96MnkwOXVLSnNtZXBTT1MzSGU5eEhSVk0tcjdjb25ZQnhUN1pWc1NSZUE5SktHUUZkVGs?oc=5&hl=en-US&gl=US&ceid=US:en"
"""Les Mains sans sommeil"" : Hermès expose ses artistes au Palais de Tokyo","vogue.fr","Utile","1 novembre 2017","2017","https://news.google.com/rss/articles/CBMiuAFBVV95cUxOY1BQVWlNb0RyYVVTazNjVHhJcTRibnp0c0FEUU1ZZDVRaTNxLXV4VWFvbmJaM2pWMFI4cUEyMWVrNGVBWU1xVU4tWmFZUDZsdFo2aERtejRuaC1qS3Z6NlFoWlk4aDc0OTNfQWowSlp6WUpKckNDdWFxcHR5ejRudGp2WWlYZTlWNjd5a1JBZi1ScnRnazBYWDJzV1drcFhPQmozbW5xU001LVdIS0FVYkx1MDhrUEtJ?oc=5&hl=en-US&gl=US&ceid=US:en"
"Luxe à la française selon Hermès : entre héritage d’excellence et défis contemporains","portail-ie.fr","Autre","6 février 2024","2024","https://news.google.com/rss/articles/CBMi-gFBVV95cUxQbHdzcHpmZTJJX0U2UENRcUVTcm1DUnVqMExmcjlNelo2VzRkclZHM0hFTndVZEpEOXNvTUhFWkVQQ215dnBzVUZUMlF4Q3Ryd2VLd3hHdG02Nmp5ZTZlajY0TkEwZDF0ZndiNk11aVQxajlNSzNMZDJBdXk4dlhxczhwWGxJR3MwM01PWVJ3aWptQlQ2OEp5Zk9YUlJaY0Z5ajE4Zkd0VXRfaDdVZ2tXSzVVeGhoSmhVTGd4UU5VZng1Nm11Ykg0ZjRwT3Y3NnJKUXdBZ09TNXVZZWtyZnA4Z1ZSVjcxWld3S01PWjM4dXRxcjhsdGpGREZ3?oc=5&hl=en-US&gl=US&ceid=US:en"
"Hermès emmène son festival Transforme à Clermont-Ferrand, Lyon, Paris et Rennes.","journalduluxe.fr","Inutile","14 novembre 2023","2023","https://news.google.com/rss/articles/CBMiswFBVV95cUxPVzZrQi1oc0d5cUpJM2k3N0tOaFlNTi14YjVIcG1HblRVREZOTDd5WEFIc0xaQ1YxRU5UZnAtSC05azBFNTkwdjI0TTF4SlJZa195Y3pOdERldFE2MWw2bFNCYVE4c3JfYU04UlFrQzVzTGtwYUFMQi1UMVZCRC0tTHhSYzNvZktieUlYNVVQOE1pRENzQWpranJ3aElmVVBXUEs2bWNmWVNtc1hpUGh5XzdiMNIBugFBVV95cUxOV0dEUEFfSFBObkdnMWx1NzZEQVFWY1MtNS1nRURCdmNGemhjazFuNFZUei1iamF0YU1NOXp4eGFvRzhPRzhKSWE4ekpSdVhEM0Qyb2VwZTZHS1NrUjJDM1RycHJfZExMWXRkU0dKOTgxLTlJTW5iZHJjb0dqb2pwYW1hNUtxLUhZQUlVMUlWWGdDYTJOLVV2YS10Q0xZTGpTYV96dHJHaTdFeVZPcGxvdEVqMDEwRHRackE?oc=5&hl=en-US&gl=US&ceid=US:en"
"Nontron : une année réussie pour les programmes Manufacto et Manuterra d’Hermès","sudouest.fr","Utile","27 juin 2024","2024","https://news.google.com/rss/articles/CBMiywFBVV95cUxQVmx1djNNeXhVSkNhZkphUkIxRDRwWk1WQ1lTUmlodUdYRzJoMERnN2RicnlhSl9JSWpMWGVlLWhGa1p6QUx2MldOb25CckswZ3pvS3lZTlprRUloUGhBVXh6OUsyWk5Sd0hwMWR1eUxCdWFQZUFzUXhndXhELTVWMld2aUVtY1FNandYejJ4M3RubWVFOG5UWDFtbzRMT1NxVVpsNUdBTUJ0RFRNdUxHU24wQXBpSnpSazNGU2pWOU1EbktoeE5wbnpUUQ?oc=5&hl=en-US&gl=US&ceid=US:en"
"Louviers : les collégiens découvrent l'artisanat avec la Fondation Hermès","actu.fr","Utile","5 juin 2023","2023","https://news.google.com/rss/articles/CBMiwwFBVV95cUxObzFFdlROT2JBRy1TM1pWZlJSZmN4V1BuLWdsRTNxZk96M3dpSkRNRFlFci0tV0plMlZjNml0MFlLOXIxY0lnT3huZkxvQXR1V3FSZXJCa05TS21KZjNCSl9pcThqZENHMHB6UldTNUhzSWxMSUdUcDdMcEk2dldJX1E1QXAwR2hyVFZaa092UUsyV0w1c0NEcWRjc2l2bWdrQS01VW1wTnJtMk9MaDdCU2t5VXpNMXBXT1pIREFRQmNMZTQ?oc=5&hl=en-US&gl=US&ceid=US:en"
"Joël Riff est nommé commissaire des expositions de La Verrière à Bruxelles","artnewspaper.fr","Autre","22 septembre 2022","2022","https://news.google.com/rss/articles/CBMiswFBVV95cUxQQWt3Qk50cC0yM2hGTDZWSWRVZ1ZtZzYwNGp5Z25sT3EyOUViRTNoSlBadS1Lc1c2eTJOVElPMEZvdE1oSnBnd181U0RSY1R5UFc0WHhndUp2UkF0dnNReGNXa2N0UnNVTXFQYUFCeFE2YldUVzRhTFJnb3dnU3BOSC0ybEdqdHFYdWVqb2RBSURMbXRkaldZc3hLV2I2WjlPdWU3UDJOdWhQelJvZlkwaEU2bw?oc=5&hl=en-US&gl=US&ceid=US:en"
"À La Verrière, une bise d’Anne Marie Laureys","thesteidz.com","Autre","8 juin 2023","2023","https://news.google.com/rss/articles/CBMikwFBVV95cUxQU0w1U3hXYWZhRkI4RzJmeUdOTHk2MDBSTEJlNFFpTU9rRE9PaW9meWk0eVlHZG9FR3RON1JRcWw1a2lFRTRtVG1MT04xMFZNMUVnM0d0NFpPTHlWX3lqRFJZLXY0VXhGbUZoeHhnaWc3emNfTV93d1o0dGlPbEVwR1h5WC1fVU9BRDBZWm50c3VreGc?oc=5&hl=en-US&gl=US&ceid=US:en"
"Hermès lance un appel à candidatures pour sa bourse d'études ""Artistes dans la Cité"".","journalduluxe.fr","Inutile","26 juillet 2022","2022","https://news.google.com/rss/articles/CBMidkFVX3lxTE9MWWdzUFpyTEo4NHZwdEp5cjZMQmQ2WkxqYlptSzVFNVlXV3pZZTZ6cnpra2RiRGZhZ3M1cEp6RUJJM1g2OFd4cEdQR3NoS214NTBCN0hRT1RUZG5LS255RWhlNWJ3SnJFM0J4Uk5aUURoM3lLNEHSAXxBVV95cUxNemh2bXBmRzQyZmtjenQxNXVKSW4tTVJ5aFduQkRCVFBBWTl5b21uWG1rMVg4T19nUDA5all5WDFicmZWeGJfV1h5SmJZMHlNR3Jsb3ZLbjRKUmRTSzNic2tHek5SNVF2OUowQkV3LXBYWjdQRmZCdlZJMzRF?oc=5&hl=en-US&gl=US&ceid=US:en"
"""Manufacto"" : talents aiguille en milieu scolaire avec la Fondation Hermès","grazia.fr","Inutile","26 mars 2022","2022","https://news.google.com/rss/articles/CBMivwFBVV95cUxNTklxZ1V3T2ZzV1BpRlNWb2VmUVpfdFBhOEZlVkNfWUstYVlxSU5xX2doYnAwUThLR1JhUy1UVGtlci1icVZBYXZ3RlZRM2EyOTdBOTJnRGxEUlFNdXgzSEJUdk5mT3pnQTc4MTdoV2tiTXVsb0VLLU5ZWTVSd3lZX21Eb1NlNFlIQkxkY21fUmgzcU5YOXJvNGVnNVUtdXlxelFETnJxTmp5SlBTU0lCTFUwRGY4ZHljcEtaRU1FTQ?oc=5&hl=en-US&gl=US&ceid=US:en"
"Hermès partage des tutoriels créatifs.","journalduluxe.fr","Inutile","1 mai 2020","2020","https://news.google.com/rss/articles/CBMif0FVX3lxTFBtMzFVa1hGNHJhaHlUNzdxV1pOTWZpajdBa2RaZmdNSzBGMGYyaWZrRFdESkFZR1M0ZGVGMHQ1UHd2TUYwc3dkNXNrU2NKZk50YmhhbFRJc19JNVBVOXRpTWd5QjdVU1lQTWxXWnU3bW15OWxxa0tqcHJuQVk4dEXSAYYBQVVfeXFMUFA2cExkWHpQeGd5Y2JKVV9CZm05enhFMy0zSnUyU1dTSlN2Ymd5UURlaDJEUVFkbTYtX20wZFJrNkRtanlMNHdzNXQxYlNqcVVsajU4NUdleWE5UnhMOVFLM2hWY3NqbklOUXNkWDdTNm9KTUxhdmc3ZlRmaEExcnNsRWdjZ0E?oc=5&hl=en-US&gl=US&ceid=US:en"
"L’expo photo de Vasantha Yogananthan à la Fondation Cartier-Bresson","milkdecoration.com","Autre","8 mai 2023","2023","https://news.google.com/rss/articles/CBMinwFBVV95cUxPX2h4WW5PWHlLd1hKRW5McFdoT0gwMnBoakdTV1NiaF9oMDQtdUR6UTE0ZVRHalduSzRDLVQxZ2V6N0ZyS3kySks1TG9UXzhkYWxEbnVYUG1QNkptNk9USDJvNElyRlRPR1J5QmN0a29TTGdISjh6eG9qbjdrMW1lRFBxUXBOSVZ5anVJS2VFNjdRR0tIek4xNHlMWFJLdHM?oc=5&hl=en-US&gl=US&ceid=US:en"
"Rencontre avec Mathilde Monnier coordinatrice de « Transmission Impossible »","artcena.fr","Inutile","5 juillet 2024","2024","https://news.google.com/rss/articles/CBMirwFBVV95cUxOUDlDRllYc2Zob0U5WldLTXVGclcxQWwxREIwX1hDZk9UektxdUhBazR2MC0wbFowNUowX3kydkNYRkx4X1FHOWEtU3V5R2JqcmlsTk9VNDVOV3QxUlZpaHdLX1JiVUdsdWtuQk50RC1BSzNiUFlzMkNfZjRxVzVJM2VHYURzRF8zdmlwcnVMQWVwd29PcWNvYXVTZ1AxT2EzbUIyaF9UQXRaQ2RtblFJ?oc=5&hl=en-US&gl=US&ceid=US:en"
"New settings : Mettre en lumière le spectacle vivant","thegoodlife.fr","Inutile","1 décembre 2022","2022","https://news.google.com/rss/articles/CBMif0FVX3lxTFBicVNqSEllQzF5Yk5jdHkxNmRZZTd0cDVEcjF3WlM2YXVVaXF6T3l3T19pMzBCNHNVZHRBckNJWEtzSXdISXlYeTVQUGJYd0R4ZXBfYWtibjg3XzFicHNFeGVwQ1BDWDE4M2hhSERRRWw4WnBfcmh5NDFsTEZXdGc?oc=5&hl=en-US&gl=US&ceid=US:en"
"Hermès expose ses métiers d’art au Palais de Tokyo jusqu’au 7 janvier","journalduluxe.fr","Inutile","27 décembre 2017","2017","https://news.google.com/rss/articles/CBMisAFBVV95cUxPUC1XekFjbUhST2xTMTZObnV3YUFvX0t2Tk5jOG1NZzk4MjBzX0pnU1RiOERhZUI2aHFkOV8tcnp5NnhKR1pad2QtQjlEYnFjbk81cm5TVm13d0JGNmEwakdMdUJ5S3VFSXFMeldfZXZLTnVpUkVNVmpXRkRxOUxYMW9kanhONWtCTE1RYl9CaTc5YWtGRmlURWE2dXJEMFR3MVVQeHI1SVB4bFNuaGlTQtIBtwFBVV95cUxNcWRLQ3ZaTjdoR0p6WWMtbGZSRUJVUkVfME1oZWhLb3JxSGZWRzBFRlA4RlhXSThOZFo0WXVUNWN3U1FiWFRZY1ViNXRFN2otOWc1Rk13dGREaEFsQmVaY0J1T0FJNmFCQ2w5UWthbndOVjlEdmZ1Yi05YWdHY0VhbTRZam9uMGJsMnJFWF9UczZXTl9KcXdodEg0M3JSQm5NTkJ5Ym5TUkc3SXNCeG1LUF9vTVBDTzQ?oc=5&hl=en-US&gl=US&ceid=US:en"
"Fondation Maeght : Frédéric Hubin nommé directeur de la communication, du mécénat et du développement","artnewspaper.fr","Autre","2 février 2022","2022","https://news.google.com/rss/articles/CBMi0wFBVV95cUxPR2FUdUhuSlN0TERJbkdSLU42VHQtZU1iSV9jM1JjQ0RMZVdsQjlpQWE0MHJXRkdOeTU2eVlONXRzbkpwakREbExhVmFmS1ozYkZJUjdWVk85QnhfUGxlMk82OFBhUUFXV2NxdmNma2QwN3lVX2t2QU53SFY4Sm5CNUh2V09hdW9PLW1mWWpTMkd6bkNrMU9lVkNIel9jRXlvQjN2ZlNCeFZtaVItWUhLZFpuZmxtUlExVTh3aWhNTHptU0FiSy1lOF8yTDRodnVhcU9N?oc=5&hl=en-US&gl=US&ceid=US:en"
"Olivier Fournier, le Charentais d’Hermès, parrain de la soirée Les Etoiles de l'économie","charentelibre.fr","Utile","6 août 2018","2018","https://news.google.com/rss/articles/CBMi0gFBVV95cUxOZE1hUm5vVjNNLTFXZ1lTdGNEOUVnTUkzWXFBQ2ZqcXE3cDVDaWlaRjM4d0tia1dISTZPd2xqam42dlJ2VWZOVF9BbWRUT19MVHQxUjVZRnk4QWtidkNWdnFiWW5FVU9OLS1BR3ZjQTZfMDJFMHR2dWUyNUx2R2NZbkpocUwwRXhRdzk5aV9fN0NKWnhCcnVmbjFwTVg1d2VmWURSLVRNZW1uWUlvM3VHRWhSZnB5U2NXQ01iVHBfSGZ0UHRfMHZSNXU0eG5QUm9vN3c?oc=5&hl=en-US&gl=US&ceid=US:en"
"Le Paris de Pascale Mussard","eventail.be","Autre","6 mai 2023","2023","https://news.google.com/rss/articles/CBMikgFBVV95cUxNdDBWSUJSeHNfSDNBMU41X3ZHRGQ4RG5nV3pPOXk0b1JRU1lQTk5Sb2FDTEsxQnpSel9qd1dCM2ZkRFhTU2tQVXJnMFFTdlZrNDNZMnZhOW5MSUxwZ0FWYzBmVG43dWg0MWIzbWhHYTNtXzlNMkVqa3RwZmtUcmtQeE5DcEpWWGZFdTN4RTA4TGxudw?oc=5&hl=en-US&gl=US&ceid=US:en"
"Dordogne. Hermès et la découverte de l'artisanat pour les élèves de Nontron","actu.fr","Utile","24 février 2022","2022","https://news.google.com/rss/articles/CBMi0wFBVV95cUxOZE8yR2xRNHN0a2xRcER3T2szNDNGZlgwaU9VNi1YSmRJM3NwQWcxTkhFNG12UWJtUEV5bjk1OEVpc3o3VG1QVUxldlM2VEpoQXEteTg2VEpCeHZ4NHVaMnl0Ul9Vb1d5Rk1RS2pUeF9VTkRjVXlwSTZtMW1XUmMtalJOdk9EN1FzY2k1Vk5VbjYwbE5RVFA5UGY3X3JYUExQcDgwZlJLbXQ5TS1US2tpNTIxQ015aXI3TjI3SndlWVRKZHFRcVhobzg4Zlc3Z1lZcEhj?oc=5&hl=en-US&gl=US&ceid=US:en"
"Cristof Yvoré, la peinture intérieure","blogs.mediapart.fr","Inutile","27 octobre 2023","2023","https://news.google.com/rss/articles/CBMimgFBVV95cUxQX1NkRFlweGV6MnB1YkdnTjJNY2J5VHlkRjBsbmFFZXUxOGNGcm91LWFFUHZmQWxPVnYxbGV2dkpjQ0hsem5JX0E2T3paRFk3Tlc4azRoUVVVZHJNM1VkdUduTC0tSW9IVVpBTHlDM2JWTWlmSG9iSjVGSlZTX3QzYnR3LTQ4bldqRUNRVnlnWXprNS1FMWU4djZR?oc=5&hl=en-US&gl=US&ceid=US:en"
"Les Outils et les Gestes : des outils traditionnels aux outils numériques","radiofrance.fr","Utile","28 mai 2015","2015","https://news.google.com/rss/articles/CBMivAFBVV95cUxNZkQ3QW5vdXREQThrMWktbjlRSkZRTXo2d2xzR3JGdjBpN3JXSUt4T2VQNC1HMXl2dTNSazItX3ItREdkYmJ5QUVQX0cyc24wYkhKZVJLaHN5QXFxMEhQTVpUX195UGp2bk53ZC04cEp6bl9WTzduaERFRWIwRTluWWxVNUsxUHdSb2JkQmswOUhZV2ZMdTY2N256S2FONTJKZVJrOGJiZ01NTEwwcDB6TF9vSzdOTGVFVVdjSg?oc=5&hl=en-US&gl=US&ceid=US:en"
"Pinocchio(live)#3 d’Alice Laloy","sceneweb.fr","Autre","19 novembre 2023","2023","https://news.google.com/rss/articles/CBMiXEFVX3lxTFA5eF83WlAwWm9xTGtqZTdHVEFlS1NfNjYxZ1ZZaVlPSUt0Y21MVTJIV1JzMUpoclVmVTk2eUNkc3VkcU9FTWJmRFczbGxaYVV5SjQtWnN0Z0ZlZ0ZU?oc=5&hl=en-US&gl=US&ceid=US:en"
